k,station_id,active_drone,battery_wh
97,2,cf3,92.16
97,3,cf4,85.30
98,0,cf1,90.10
98,1,cf2,88.12
98,2,cf3,92.08
98,3,cf4,85.15
99,0,cf1,90.00
99,1,cf2,88.00
99,2,cf3,92.00
99,3,cf4,85.00
100,0,cf1,89.90
100,1,cf2,87.88
100,2,cf3,91.92
100,3,cf4,84.85
101,0,cf1,89.80
101,1,cf2,87.76
101,2,cf3,91.84
101,3,cf4,84.70
102,0,cf1,89.70
102,1,cf2,87.64
102,2,cf3,91.76
102,3,cf4,84.55
103,0,cf1,89.60
103,1,cf2,87.52
103,2,cf3,91.68
103,3,cf4,84.40
104,0,cf1,89.50
104,1,cf2,87.40
104,2,cf3,91.60
104,3,cf4,84.25
105,0,cf1,89.40
105,1,cf2,87.28
105,2,cf3,91.52
105,3,cf4,84.10
106,0,cf1,89.30
106,1,cf2,87.16
106,2,cf3,91.44
106,3,cf4,83.95
107,0,cf1,89.20
107,1,cf2,87.04
107,2,cf3,91.36
107,3,cf4,83.80
108,0,cf1,89.10
108,1,cf2,86.92
108,2,cf3,91.28
108,3,cf4,83.65
109,0,cf1,89.00
109,1,cf2,86.80
109,2,cf3,91.20
109,3,cf4,83.50
110,0,cf1,88.90
110,1,cf2,86.68
110,2,cf3,91.12
110,3,cf4,83.35
111,0,cf1,88.80
111,1,cf2,86.56
111,2,cf3,91.04
111,3,cf4,83.20
112,0,cf1,88.70
112,1,cf2,86.44
112,2,cf3,90.96
112,3,cf4,83.05
113,0,cf1,88.60
113,1,cf2,86.32
113,2,cf3,90.88
113,3,cf4,82.90
114,0,cf1,88.50
114,1,cf2,86.20
114,2,cf3,90.80
114,3,cf4,82.75
115,0,cf1,88.40
115,1,cf2,86.08
115,2,cf3,90.72
115,3,cf4,82.60
116,0,cf1,88.30
116,1,cf2,85.96
116,2,cf3,90.64
116,3,cf4,82.45
117,0,cf1,88.20
117,1,cf2,85.84
117,2,cf3,90.56
117,3,cf4,82.30
118,0,cf1,88.10
118,1,cf2,85.72
118,2,cf3,90.48
118,3,cf4,82.15
119,0,cf1,88.00
119,1,cf2,85.60
119,2,cf3,90.40
119,3,cf4,82.00
120,0,cf1,87.90
120,1,cf2,85.48
120,2,cf3,90.32
120,3,cf4,81.85
121,0,cf1,87.80
121,1,cf2,85.36
121,2,cf3,90.24
121,3,cf4,81.70
122,0,cf1,87.70
122,1,cf2,85.24
122,2,cf3,90.16
122,3,cf4,81.55
123,0,cf1,87.60
123,1,cf2,85.12
123,2,cf3,90.08
123,3,cf4,81.40
124,0,cf1,87.50
124,1,cf2,85.00
124,2,cf3,90.00
124,3,cf4,81.25
125,0,cf1,87.40
125,1,cf2,84.88
125,2,cf3,89.92
125,3,cf4,81.10
126,0,cf1,87.30
126,1,cf2,84.76
126,2,cf3,89.84
126,3,cf4,80.95
127,0,cf1,87.20
127,1,cf2,84.64
127,2,cf3,89.76
127,3,cf4,80.80
128,0,cf1,87.10
128,1,cf2,84.52
128,2,cf3,89.68
128,3,cf4,80.65
129,0,cf1,87.00
129,1,cf2,84.40
129,2,cf3,89.60
129,3,cf4,80.50
130,0,cf1,86.90
130,1,cf2,84.28
130,2,cf3,89.52
130,3,cf4,80.35
131,0,cf1,86.80
131,1,cf2,84.16
131,2,cf3,89.44
131,3,cf4,80.20
132,0,cf1,86.70
132,1,cf2,84.04
132,2,cf3,89.36
132,3,cf4,80.05
133,0,cf1,86.60
133,1,cf2,83.92
133,2,cf3,89.28
133,3,cf4,79.90
134,0,cf1,86.50
134,1,cf2,83.80
134,2,cf3,89.20
134,3,cf4,79.75
135,0,cf1,86.40
135,1,cf2,83.68
135,2,cf3,89.12
135,3,cf4,79.60
136,0,cf1,86.30
136,1,cf2,83.56
136,2,cf3,89.04
136,3,cf4,79.45
137,0,cf1,86.20
137,1,cf2,83.44
137,2,cf3,88.96
137,3,cf4,79.30
138,0,cf1,86.10
138,1,cf2,83.32
138,2,cf3,88.88
138,3,cf4,79.15
139,0,cf1,86.00
139,1,cf2,83.20
139,2,cf3,88.80
139,3,cf4,79.00
140,0,cf1,85.90
140,1,cf2,83.08
140,2,cf3,88.72
140,3,cf4,78.85
141,0,cf1,85.80
141,1,cf2,82.96
141,2,cf3,88.64
141,3,cf4,78.70
142,0,cf1,85.70
142,1,cf2,82.84
142,2,cf3,88.56
142,3,cf4,78.55
143,0,cf1,85.60
143,1,cf2,82.72
143,2,cf3,88.48
143,3,cf4,78.40
144,0,cf1,85.50
144,1,cf2,82.60
144,2,cf3,88.40
144,3,cf4,78.25
145,0,cf1,85.40
145,1,cf2,82.48
145,2,cf3,88.32
145,3,cf4,78.10
146,0,cf1,85.30
146,1,cf2,82.36
146,2,cf3,88.24
146,3,cf4,77.95
147,0,cf1,85.20
147,1,cf2,82.24
147,2,cf3,88.16
147,3,cf4,77.80
148,0,cf1,85.10
148,1,cf2,82.12
148,2,cf3,88.08
148,3,cf4,77.65
149,0,cf1,85.00
149,1,cf2,82.00
149,2,cf3,88.00
149,3,cf4,77.50
150,0,cf1,84.90
150,1,cf2,81.88
150,2,cf3,87.92
150,3,cf4,77.35
151,0,cf1,84.80
151,1,cf2,81.76
151,2,cf3,87.84
151,3,cf4,77.20
152,0,cf1,84.70
152,1,cf2,81.64
152,2,cf3,87.76
152,3,cf4,77.05
153,0,cf1,84.60
153,1,cf2,81.52
153,2,cf3,87.68
153,3,cf4,76.90
154,0,cf1,84.50
154,1,cf2,81.40
154,2,cf3,87.60
154,3,cf4,76.75
155,0,cf1,84.40
155,1,cf2,81.28
155,2,cf3,87.52
155,3,cf4,76.60
156,0,cf1,84.30
156,1,cf2,81.16
156,2,cf3,87.44
156,3,cf4,76.45
157,0,cf1,84.20
157,1,cf2,81.04
157,2,cf3,87.36
157,3,cf4,76.30
158,0,cf1,84.10
158,1,cf2,80.92
158,2,cf3,87.28
158,3,cf4,76.15
159,0,cf1,84.00
159,1,cf2,80.80
159,2,cf3,87.20
159,3,cf4,76.00
160,0,cf1,83.90
160,1,cf2,80.68
160,2,cf3,87.12
160,3,cf4,75.85
161,0,cf1,83.80
161,1,cf2,80.56
161,2,cf3,87.04
161,3,cf4,75.70
162,0,cf1,83.70
162,1,cf2,80.44
162,2,cf3,86.96
162,3,cf4,75.55
163,0,cf1,83.60
163,1,cf2,80.32
163,2,cf3,86.88
163,3,cf4,75.40
164,0,cf1,83.50
164,1,cf2,80.20
164,2,cf3,86.80
164,3,cf4,75.25
165,0,cf1,83.40
165,1,cf2,80.08
165,2,cf3,86.72
165,3,cf4,75.10
166,0,cf1,83.30
166,1,cf2,79.96
166,2,cf3,86.64
166,3,cf4,74.95
167,0,cf1,83.20
167,1,cf2,79.84
167,2,cf3,86.56
167,3,cf4,74.80
168,0,cf1,83.10
168,1,cf2,79.72
168,2,cf3,86.48
168,3,cf4,74.65
169,0,cf1,83.00
169,1,cf2,79.60
169,2,cf3,86.40
169,3,cf4,74.50
170,0,cf1,82.90
170,1,cf2,79.48
170,2,cf3,86.32
170,3,cf4,74.35
171,0,cf1,82.80
171,1,cf2,79.36
171,2,cf3,86.24
171,3,cf4,74.20
172,0,cf1,82.70
172,1,cf2,79.24
172,2,cf3,86.16
172,3,cf4,74.05
173,0,cf1,82.60
173,1,cf2,79.12
173,2,cf3,86.08
173,3,cf4,73.90
174,0,cf1,82.50
174,1,cf2,79.00
174,2,cf3,86.00
174,3,cf4,73.75
175,0,cf1,82.40
175,1,cf2,78.88
175,2,cf3,85.92
175,3,cf4,73.60
176,0,cf1,82.30
176,1,cf2,78.76
176,2,cf3,85.84
176,3,cf4,73.45
177,0,cf1,82.20
177,1,cf2,78.64
177,2,cf3,85.76
177,3,cf4,73.30
178,0,cf1,82.10
178,1,cf2,78.52
178,2,cf3,85.68
178,3,cf4,73.15
179,0,cf1,82.00
179,1,cf2,78.40
179,2,cf3,85.60
179,3,cf4,73.00
180,0,cf1,81.90
180,1,cf2,78.28
180,2,cf3,85.52
180,3,cf4,72.86
181,0,cf1,81.80
181,1,cf2,78.17
181,2,cf3,85.44
181,3,cf4,72.71
182,0,cf1,81.71
182,1,cf2,78.05
182,2,cf3,85.36
182,3,cf4,72.56
183,0,cf1,81.61
183,1,cf2,77.93
183,2,cf3,85.29
183,3,cf4,72.42
184,0,cf1,81.51
184,1,cf2,77.81
184,2,cf3,85.21
184,3,cf4,72.27
185,0,cf1,81.41
185,1,cf2,77.70
185,2,cf3,85.13
185,3,cf4,72.13
186,0,cf1,81.32
186,1,cf2,77.58
186,2,cf3,85.05
186,3,cf4,71.98
187,0,cf1,81.22
187,1,cf2,77.47
187,2,cf3,84.97
187,3,cf4,71.84
188,0,cf1,81.12
188,1,cf2,77.35
188,2,cf3,84.89
188,3,cf4,71.70
189,0,cf1,81.03
189,1,cf2,77.24
189,2,cf3,84.82
189,3,cf4,71.56
190,0,cf1,80.93
190,1,cf2,77.12
190,2,cf3,84.74
190,3,cf4,71.42
191,0,cf1,80.83
191,1,cf2,77.01
191,2,cf3,84.66
191,3,cf4,71.28
192,0,cf1,80.74
192,1,cf2,76.90
192,2,cf3,84.58
192,3,cf4,71.14
193,0,cf1,80.64
193,1,cf2,76.78
193,2,cf3,84.51
193,3,cf4,71.00
194,0,cf1,80.55
194,1,cf2,76.67
194,2,cf3,84.43
194,3,cf4,70.86
195,0,cf1,80.45
195,1,cf2,76.56
195,2,cf3,84.35
195,3,cf4,70.72
196,0,cf1,80.36
196,1,cf2,76.45
196,2,cf3,84.28
196,3,cf4,70.58
197,0,cf1,80.27
197,1,cf2,76.33
197,2,cf3,84.20
197,3,cf4,70.45
198,0,cf1,80.17
198,1,cf2,76.22
198,2,cf3,84.13
198,3,cf4,70.31
199,0,cf1,80.08
199,1,cf2,76.11
199,2,cf3,84.05
199,3,cf4,70.17
200,0,cf1,79.98
200,1,cf2,76.00
200,2,cf3,83.97
200,3,cf4,70.04
201,0,cf1,79.89
201,1,cf2,75.89
201,2,cf3,83.90
201,3,cf4,69.91
202,0,cf1,79.80
202,1,cf2,75.78
202,2,cf3,83.82
202,3,cf4,69.77
203,0,cf1,79.71
203,1,cf2,75.67
203,2,cf3,83.75
203,3,cf4,69.64
204,0,cf1,79.61
204,1,cf2,75.56
204,2,cf3,83.67
204,3,cf4,69.51
205,0,cf1,79.52
205,1,cf2,75.46
205,2,cf3,83.60
205,3,cf4,69.38
206,0,cf1,79.43
206,1,cf2,75.35
206,2,cf3,83.52
206,3,cf4,69.24
207,0,cf1,79.34
207,1,cf2,75.24
207,2,cf3,83.45
207,3,cf4,69.11
208,0,cf1,79.25
208,1,cf2,75.13
208,2,cf3,83.38
208,3,cf4,68.98
209,0,cf1,79.16
209,1,cf2,75.03
209,2,cf3,83.30
209,3,cf4,68.86
210,0,cf1,79.07
210,1,cf2,74.92
210,2,cf3,83.23
210,3,cf4,68.73
211,0,cf1,78.98
211,1,cf2,74.82
211,2,cf3,83.15
211,3,cf4,68.60
212,0,cf1,78.89
212,1,cf2,74.71
212,2,cf3,83.08
212,3,cf4,68.47
213,0,cf1,78.80
213,1,cf2,74.61
213,2,cf3,83.01
213,3,cf4,68.35
214,0,cf1,78.71
214,1,cf2,74.50
214,2,cf3,82.93
214,3,cf4,68.22
215,0,cf1,78.62
215,1,cf2,74.40
215,2,cf3,82.86
215,3,cf4,68.09
216,0,cf1,78.53
216,1,cf2,74.29
216,2,cf3,82.79
216,3,cf4,67.97
217,0,cf1,78.44
217,1,cf2,74.19
217,2,cf3,82.72
217,3,cf4,67.85
218,0,cf1,78.35
218,1,cf2,74.09
218,2,cf3,82.64
218,3,cf4,67.72
219,0,cf1,78.27
219,1,cf2,73.98
219,2,cf3,82.57
219,3,cf4,67.60
220,0,cf1,78.18
220,1,cf2,73.88
220,2,cf3,82.50
220,3,cf4,67.48
221,0,cf1,78.09
221,1,cf2,73.78
221,2,cf3,82.43
221,3,cf4,67.36
222,0,cf1,78.00
222,1,cf2,73.68
222,2,cf3,82.35
222,3,cf4,67.24
223,0,cf1,77.92
223,1,cf2,73.58
223,2,cf3,82.28
223,3,cf4,67.12
224,0,cf1,77.83
224,1,cf2,73.48
224,2,cf3,82.21
224,3,cf4,67.00
225,0,cf1,77.75
225,1,cf2,73.38
225,2,cf3,82.14
225,3,cf4,66.88
226,0,cf1,77.66
226,1,cf2,73.28
226,2,cf3,82.07
226,3,cf4,66.76
227,0,cf1,77.57
227,1,cf2,73.18
227,2,cf3,82.00
227,3,cf4,66.64
228,0,cf1,77.49
228,1,cf2,73.08
228,2,cf3,81.93
228,3,cf4,66.52
229,0,cf1,77.40
229,1,cf2,72.98
229,2,cf3,81.86
229,3,cf4,66.41
230,0,cf1,77.32
230,1,cf2,72.88
230,2,cf3,81.79
230,3,cf4,66.29
231,0,cf1,77.23
231,1,cf2,72.78
231,2,cf3,81.72
231,3,cf4,66.18
232,0,cf1,77.15
232,1,cf2,72.69
232,2,cf3,81.65
232,3,cf4,66.06
233,0,cf1,77.07
233,1,cf2,72.59
233,2,cf3,81.58
233,3,cf4,65.95
234,0,cf1,76.98
234,1,cf2,72.49
234,2,cf3,81.51
234,3,cf4,65.83
235,0,cf1,76.90
235,1,cf2,72.40
235,2,cf3,81.44
235,3,cf4,65.72
236,0,cf1,76.82
236,1,cf2,72.30
236,2,cf3,81.37
236,3,cf4,65.61
237,0,cf1,76.73
237,1,cf2,72.21
237,2,cf3,81.30
237,3,cf4,65.50
238,0,cf1,76.65
238,1,cf2,72.11
238,2,cf3,81.23
238,3,cf4,65.39
239,0,cf1,76.57
239,1,cf2,72.02
239,2,cf3,81.16
239,3,cf4,65.28
240,0,cf1,76.49
240,1,cf2,71.92
240,2,cf3,81.10
240,3,cf4,65.17
241,0,cf1,76.40
241,1,cf2,71.83
241,2,cf3,81.03
241,3,cf4,65.06
242,0,cf1,76.32
242,1,cf2,71.74
242,2,cf3,80.96
242,3,cf4,64.95
243,0,cf1,76.24
243,1,cf2,71.64
243,2,cf3,80.89
243,3,cf4,64.84
244,0,cf1,76.16
244,1,cf2,71.55
244,2,cf3,80.82
244,3,cf4,64.74
245,0,cf1,76.08
245,1,cf2,71.46
245,2,cf3,80.76
245,3,cf4,64.63
246,0,cf1,76.00
246,1,cf2,71.37
246,2,cf3,80.69
246,3,cf4,64.53
247,0,cf1,75.92
247,1,cf2,71.28
247,2,cf3,80.62
247,3,cf8,100.00
248,0,cf1,75.84
248,1,cf2,71.18
248,2,cf3,80.55
248,3,cf8,99.85
249,0,cf1,75.76
249,1,cf2,71.09
249,2,cf3,80.49
249,3,cf8,99.70
250,0,cf1,75.68
250,1,cf2,71.00
250,2,cf3,80.42
250,3,cf8,99.55
251,0,cf1,75.59
251,1,cf2,70.90
251,2,cf3,80.35
251,3,cf8,99.40
252,0,cf1,75.51
252,1,cf2,70.81
252,2,cf3,80.28
252,3,cf8,99.25
253,0,cf1,75.43
253,1,cf2,70.71
253,2,cf3,80.21
253,3,cf8,99.10
254,0,cf1,75.34
254,1,cf2,70.61
254,2,cf3,80.14
254,3,cf8,98.95
255,0,cf1,75.25
255,1,cf2,70.51
255,2,cf3,80.07
255,3,cf8,98.80
256,0,cf1,75.17
256,1,cf2,70.41
256,2,cf3,80.00
256,3,cf8,98.65
257,0,cf1,75.08
257,1,cf2,70.31
257,2,cf3,79.92
257,3,cf8,98.50
258,0,cf1,74.99
258,1,cf2,70.21
258,2,cf3,79.85
258,3,cf8,98.35
259,0,cf1,74.91
259,1,cf2,70.10
259,2,cf3,79.78
259,3,cf8,98.20
260,0,cf1,74.82
260,1,cf2,70.00
260,2,cf3,79.71
260,3,cf8,98.05
261,0,cf1,74.73
261,1,cf2,69.89
261,2,cf3,79.63
261,3,cf8,97.90
262,0,cf1,74.64
262,1,cf2,69.79
262,2,cf3,79.56
262,3,cf8,97.75
263,0,cf1,74.54
263,1,cf2,69.68
263,2,cf3,79.48
263,3,cf8,97.60
264,0,cf1,74.45
264,1,cf2,69.57
264,2,cf3,79.41
264,3,cf8,97.45
265,0,cf1,74.36
265,1,cf2,69.46
265,2,cf3,79.33
265,3,cf8,97.30
266,0,cf1,74.27
266,1,cf2,69.35
266,2,cf3,79.26
266,3,cf8,97.15
267,0,cf1,74.17
267,1,cf2,69.24
267,2,cf3,79.18
267,3,cf8,97.00
268,0,cf1,74.08
268,1,cf2,69.13
268,2,cf3,79.11
268,3,cf8,96.85
269,0,cf1,73.99
269,1,cf2,69.02
269,2,cf3,79.03
269,3,cf8,96.70
270,0,cf1,73.90
270,1,cf2,68.91
270,2,cf3,78.96
270,3,cf8,96.56
271,0,cf1,73.80
271,1,cf2,68.81
271,2,cf3,78.88
271,3,cf8,96.41
272,0,cf1,73.71
272,1,cf2,68.70
272,2,cf3,78.81
272,3,cf8,96.26
273,0,cf1,73.62
273,1,cf2,68.59
273,2,cf3,78.73
273,3,cf8,96.12
274,0,cf1,73.53
274,1,cf2,68.48
274,2,cf3,78.66
274,3,cf8,95.97
275,0,cf1,73.44
275,1,cf2,68.38
275,2,cf3,78.58
275,3,cf8,95.83
276,0,cf1,73.35
276,1,cf2,68.27
276,2,cf3,78.51
276,3,cf8,95.68
277,0,cf1,73.26
277,1,cf2,68.16
277,2,cf3,78.44
277,3,cf8,95.54
278,0,cf1,73.17
278,1,cf2,68.06
278,2,cf3,78.36
278,3,cf8,95.40
279,0,cf1,73.08
279,1,cf2,67.95
279,2,cf3,78.29
279,3,cf8,95.26
280,0,cf1,72.99
280,1,cf2,67.85
280,2,cf3,78.22
280,3,cf8,95.12
281,0,cf1,72.90
281,1,cf2,67.74
281,2,cf3,78.14
281,3,cf8,94.98
282,0,cf1,72.81
282,1,cf2,67.64
282,2,cf3,78.07
282,3,cf8,94.84
283,0,cf1,72.72
283,1,cf2,67.54
283,2,cf3,78.00
283,3,cf8,94.70
284,0,cf1,72.63
284,1,cf2,67.43
284,2,cf3,77.93
284,3,cf8,94.56
285,0,cf1,72.55
285,1,cf2,67.33
285,2,cf3,77.85
285,3,cf8,94.42
286,0,cf1,72.46
286,1,cf2,67.23
286,2,cf3,77.78
286,3,cf8,94.28
287,0,cf1,72.37
287,1,cf2,67.13
287,2,cf3,77.71
287,3,cf8,94.15
288,0,cf1,72.28
288,1,cf2,67.02
288,2,cf3,77.64
288,3,cf8,94.01
289,0,cf1,72.20
289,1,cf2,66.92
289,2,cf3,77.57
289,3,cf8,93.87
290,0,cf1,72.11
290,1,cf2,66.82
290,2,cf3,77.49
